Profit and Loss by Class,,,,,,,
Vanguard Music and Performing Arts,,,,,,,
"June 1-30, 2025",,,,,,,

Distribution account,Alumni Association,Bingo - RWC,Bingo - SC,Santa Clara Vanguard,Shared Services,Texas Affiliate,Total
Income,,,,,,,
4000 Revenue,,,,,,,
4000.00 Bingo Revenue,,,,,,,
4010 Cherry Sales,,"8,974.00","45,325.00",,,,"54,299.00"
4020 Flash Sales,,"402,580.00","1,815,503.00",,,,"2,218,083.00"
4030 Strip Sales,,"380,354.00","918,583.00",,,,"1,298,937.00"
4040 Paper Sales,,"18,015.00","35,690.00",,,,"53,705.00"
4050 Misc Bingo Supplies,,804.00,"2,839.00",,,,"3,643.00"
Total for 4000.00 Bingo Revenue,,"810,727.00","2,817,940.00",,,,"$3,628,667.00"
4100.00 Fundraising,,,,,,,
4110 Net Donations - Unrestricted,,"5,932.00","15,629.00","6,851.17",,,"28,412.17"
4115 Net Donations - Restricted,90.00,,,"27,908.73",,,"27,998.73"
Total for 4100.00 Fundraising,90.00,"5,932.00","15,629.00","34,759.90",,,"$56,410.90"
4200.00 Equipment Revenue,,,,,,,
4240 Instruments Sales,,,,"29,333.79",,,"29,333.79"
Total for 4200.00 Equipment Revenue,,,,"29,333.79",,,"$29,333.79"
4260 Entertainer Leasing,,,,"3,600.00",,,"3,600.00"
4300.00 Misc Revenue,,,,,,,
4130 Commission Income,,,,689.31,,,689.31
4200 Appearance Fees (DCI and Non),,,,"34,362.43",,,"34,362.43"
Total for 4300.00 Misc Revenue,,,,"35,051.74",,,"$35,051.74"
4300 Other Misc. Revenue,240.00,,"1,200.00","3,284.62",,,"4,724.62"
4400 Tuition Revenue,,,,,,,
4210 Tuition Fees,,,,"3,560.00",,,"3,560.00"
Total for 4400 Tuition Revenue,,,,"3,560.00",,,"$3,560.00"
Total for 4000 Revenue,330.00,"816,659.00","2,834,769.00","109,590.05",,,"$3,761,348.05"
Total for Income,330.00,"816,659.00","2,834,769.00","109,590.05",,,"$3,761,348.05"
Cost of Goods Sold,,,,,,,
50000 Cost of Goods Sold,,,,,,,
5000.00 Bingo COGS,,,,,,,
5000.25 Bingo Payouts,,,,,,,
5013 Cherry Payouts,,"8,466.00","38,698.00",,,,"47,164.00"
5023 Flash Payouts,,"279,416.00","1,280,404.00",,,,"1,559,820.00"
5033 Strips Payouts,,"249,650.00","630,150.00",,,,"879,800.00"
5043 Paper and Electronic Payouts,,"21,565.00","47,832.00",,,,"69,397.00"
Total for 5000.25 Bingo Payouts,,"559,097.00","1,997,084.00",,,,"$2,556,181.00"
5000.75 Bingo Costs-Other,,,,,,,
5012 Cards/Supplies,,"86,125.28","260,266.29",,,,"346,391.57"
5090 City Permits,,,300.00,,,,300.00
5095 Credit Card Merchant Fees,,,"26,921.03",,,,"26,921.03"
5302 Refunds/Chargebacks/Misc,,"2,468.00","61,169.00",,,,"63,637.00"
Total for 5000.75 Bingo Costs-Other,,"88,593.28","348,656.32",,,,"$437,249.60"
Total for 5000.00 Bingo COGS,,"647,690.28","2,345,740.32",,,,"$2,993,430.60"
5100.5 Fundraising COGS,,,,,,,
5570 Fundraising,,,,559.37,99.31,,658.68
Total for 5100.5 Fundraising COGS,,,,559.37,99.31,,$658.68
5200 Equipment COGS,,,,,,,
5310 Instrument Purchases,,,,763.45,,,763.45
5798 Equipment Shipping COGS,,,,"1,205.13",171.69,,"1,376.82"
Total for 5200 Equipment COGS,,,,"1,968.58",171.69,,"$2,140.27"
Total for 50000 Cost of Goods Sold,,"647,690.28","2,345,740.32","2,527.95",271.00,,"$2,996,229.55"
Total for Cost of Goods Sold,,"647,690.28","2,345,740.32","2,527.95",271.00,,"$2,996,229.55"
Gross Profit,330.00,"168,968.72","489,028.68","107,062.10",-271.00,,"$765,118.50"
Expenses,,,,,,,
6000 Bingo Expenses,,,,,,,
6030 Refreshments/Meals,,113.92,585.98,,,,699.90
6040 Security Service,,"4,459.00","8,716.99",,,,"13,175.99"
6050 Advertising,,"1,809.35","2,651.99",,,,"4,461.34"
6051 Rent,,"13,200.00",,,,,"13,200.00"
6080 Equip. Repairs and Maintenance,,,842.93,"-6,744.43",,,"-5,901.50"
"6082 Office Supplies, Decor and Fees",,886.79,"2,211.20",,,,"3,097.99"
6085 Janitorial,,,"6,930.03",,,,"6,930.03"
6088 Utilities,,,195.40,,,,195.40
6195 Outside Storage,,,387.00,,,,387.00
Total for 6000 Bingo Expenses,,"20,469.06","22,521.52","-6,744.43",,,"$36,246.15"
6001 Employee Related Expenses,,,,,,,
6010 Salary,,,"18,812.30",,"66,789.47",,"85,601.77"
6020 Hourly,,"42,496.67","94,612.73",,"1,365.00",,"138,474.40"
6035 Bonus,,"3,000.00",,,,,"3,000.00"
6115 Payroll Taxes,,"3,376.76","8,709.57",,"5,094.70",,"17,181.03"
6300 Benefits Insurance,,,,,,,
6300.01 Health,,,,,"5,533.20",,"5,533.20"
6300.02 Dental,,,,,724.70,,724.70
6300.04 Other,,,,,-288.45,,-288.45
Total for 6300 Benefits Insurance,,,,,"5,969.45",,"$5,969.45"
Total for 6001 Employee Related Expenses,,"48,873.43","122,134.60",,"79,218.62",,"$250,226.65"
6100 Facilities Expenses,,,,,,,
6100.01 Repairs and Maintenance,,,,,,,
6110 Janitorial & Grounds,,,,"5,492.42",919.81,,"6,412.23"
6130 Non Routine,,,,"10,160.27","1,121.96",,"11,282.23"
Total for 6100.01 Repairs and Maintenance,,,,"15,652.69","2,041.77",,"$17,694.46"
6150 Utilities - Power,,,,,"6,216.85",,"6,216.85"
6160 Phones for Facility,,,,,"3,774.89",,"3,774.89"
6170 Wireless & Internet,,,,,"3,273.86",,"3,273.86"
6180 Alarm System,,,,,498.25,,498.25
Total for 6100 Facilities Expenses,,,,"15,652.69","15,805.62",,"$31,458.31"
6200 IT Expenses,,,,,,,
6210 IT Consulting (Ian),,,,,600.00,,600.00
6230 Other IT Professional Fees,,,,,190.05,,190.05
6250 SAS Expense,,,,163.86,"21,053.82",,"21,217.68"
Total for 6200 IT Expenses,,,,163.86,"21,843.87",,"$22,007.73"
6400 Insurance / Risk Management,,,,,,,
6410 Insurance Expenses,,,,,,,
6410.01 General Liability,,,,,"11,420.92",,"11,420.92"
6410.03 Auto Liability,,,,"1,400.00",,,"1,400.00"
Total for 6410 Insurance Expenses,,,,"1,400.00","11,420.92",,"$12,820.92"
Total for 6400 Insurance / Risk Management,,,,"1,400.00","11,420.92",,"$12,820.92"
6500 Marketing And Fund Development,,,,,,,
6510 Advertising,,,,"10,733.75",251.60,,"10,985.35"
Total for 6500 Marketing And Fund Development,,,,"10,733.75",251.60,,"$10,985.35"
6600 Fleet Expenses,,,,,,,
6610 Fees/Dues DMV,,,,3.00,"1,948.51",,"1,951.51"
6630 Auto -  Repairs and Maintenance,,,,"-16,258.69","27,423.71",,"11,165.02"
6640 Fuel - Vehicle,,,,,"5,456.07",,"5,456.07"
6650 Rentals Vehicle,,,,81.67,,,81.67
6660 Compliance Tablets,,,,,117.64,,117.64
Total for 6600 Fleet Expenses,,,,"-16,174.02","34,945.93",,"$18,771.91"
6700 General And Admin Expenses,,,,,,,
6715 Office Supplies,,,,205.67,632.33,,838.00
6720 Legal,,,,,"25,943.90",,"25,943.90"
6725 Professional Fees Accounting,,,,,"17,565.00",,"17,565.00"
6726 Payroll Services,,,,,"4,296.07",,"4,296.07"
6727 Professional Fees Consulting,,,,,"2,400.00",,"2,400.00"
6728 Recruiting,,,,,"1,807.47",,"1,807.47"
6750 Equipment Under $5K - Program,,,,"1,261.57",,,"1,261.57"
6770 Dues and Subscriptions,,,,695.00,41.98,,736.98
6780 Bank Charges,,,,63.61,"9,978.36",,"10,041.97"
6790 Admin Meals,,,,166.45,306.30,,472.75
6795 Admin Travel,,,,"1,040.28",528.55,,"1,568.83"
Total for 6700 General And Admin Expenses,,,,"3,432.58","63,499.96",,"$66,932.54"
7000 Program Education And Creative,,,,,,,
7010 Education Staff Prof. Devlpmt.,,,,37.00,,,37.00
7020 Wellness and Fitness,,,,,850.00,,850.00
7115 Design Fees,,,,"4,625.00","3,249.99",,"7,874.99"
7315 Instrument Repair,,,,"7,630.62",,,"7,630.62"
Total for 7000 Program Education And Creative,,,,"12,292.62","4,099.99",,"$16,392.61"
"8000 Audition, Camps & Tour Expenses",,,,,,,
8110 Tour Food,,,,"7,826.70","-7,200.00",,626.70
8210 Staff - Meals,,,,"6,713.43",,,"6,713.43"
8220 Staff - Lodging,,,,"2,869.22",155.41,,"3,024.63"
8230 Staff - Airfare,,,,"-1,391.95","4,244.70",,"2,852.75"
8240 Staff  - Car Rentals,,,,"1,237.33",,,"1,237.33"
8250 Staff - Travel Other,,,,803.72,,,803.72
8340 Bus Rental,,,,"-13,186.25","189,349.57",,"176,163.32"
8345 Staff & Students Meals,,,,"21,863.86",,,"21,863.86"
8348 Tour Supplies,,,,"17,516.57",103.43,,"17,620.00"
8410 Meals and Supplies,,,,"2,185.65",,,"2,185.65"
8520 Equipment Purchase,,,,"2,289.55",,,"2,289.55"
8530 Equipment Rental,,,,,525.46,,525.46
8535 Materials,,,,"1,352.53",,,"1,352.53"
8538 Uniform and Accessories,,,,739.77,,,739.77
8540 Medical Expenses and Supplies,,,,88.53,,,88.53
8640 Prop Expenses,,,,"9,602.14",,,"9,602.14"
"Total for 8000 Audition, Camps & Tour Expenses",,,,"60,510.80","187,178.57",,"$247,689.37"
Bad Debt Expense,,,,,"2,000.00",,"2,000.00"
Total for Expenses,,"69,342.49","144,656.12","81,267.85","420,265.08",,"$715,531.54"
Net Operating Income,330.00,"99,626.23","344,372.56","25,794.25","-420,536.08",,"$49,586.96"
Other Income,,,,,,,
10000 Other Income,,,,,"2,542.43",,"2,542.43"
10010 Interest Income,,,,,"1,522.33",,"1,522.33"
Total for Other Income,,,,,"4,064.76",,"$4,064.76"
Other Expenses,,,,,,,
11000 Brokerage Fees,,,,,627.71,,627.71
