Profit and Loss by Class,,,,,
Vanguard Music and Performing Arts,,,,,
"November 1-30, 2024",,,,,

Distribution account,Bingo - RWC,Bingo - SC,Santa Clara Vanguard,Shared Services,Total
Income,,,,,
4000 Revenue,,,,,
4000.00 Bingo Revenue,,,,,
4010 Cherry Sales,"1,500.00","56,655.00",,,"58,155.00"
4020 Flash Sales,"177,958.00","1,378,161.00",,,"1,556,119.00"
4030 Strip Sales,"141,263.00","808,291.00",,,"949,554.00"
4040 Paper Sales,"7,148.00","71,108.00",,,"78,256.00"
4050 Misc Bingo Supplies,,0.68,,,0.68
Total for 4000.00 Bingo Revenue,"327,869.00","2,314,215.68",,,"$2,642,084.68"
4100.00 Fundraising,,,,,
4110 Net Donations - Unrestricted,"4,374.00","12,771.00","3,567.06",,"20,712.06"
Total for 4100.00 Fundraising,"4,374.00","12,771.00","3,567.06",,"$20,712.06"
4200.00 Equipment Revenue,,,,,
"4230 Equipment Sales (props, Flags)",,,87.00,,87.00
4240 Instruments Sales,,,"13,648.00",,"13,648.00"
Total for 4200.00 Equipment Revenue,,,"13,735.00",,"$13,735.00"
4260 Entertainer Leasing,,,"12,600.00",,"12,600.00"
4300 Other Misc. Revenue,,"1,200.00","3,932.00",,"5,132.00"
4400 Tuition Revenue,,,,,
4210 Tuition Fees,,,"34,675.00",,"34,675.00"
Total for 4400 Tuition Revenue,,,"34,675.00",,"$34,675.00"
Total for 4000 Revenue,"332,243.00","2,328,186.68","68,509.06",,"$2,728,938.74"
Total for Income,"332,243.00","2,328,186.68","68,509.06",,"$2,728,938.74"
Cost of Goods Sold,,,,,
50000 Cost of Goods Sold,,,,,
5000.00 Bingo COGS,,,,,
5000.25 Bingo Payouts,,,,,
5013 Cherry Payouts,"1,227.00","47,481.00",,,"48,708.00"
5023 Flash Payouts,"124,740.00","989,316.00",,,"1,114,056.00"
5033 Strips Payouts,"94,500.00","554,900.00",,,"649,400.00"
5043 Paper and Electronic Payouts,"10,250.00","56,417.00",,,"66,667.00"
Total for 5000.25 Bingo Payouts,"230,717.00","1,648,114.00",,,"$1,878,831.00"
5000.75 Bingo Costs-Other,,,,,
5012 Cards/Supplies,"34,211.19","210,698.91",,,"244,910.10"
5090 City Permits,,338.00,,,338.00
5095 Credit Card Merchant Fees,,560.00,,"15,730.84","16,290.84"
5302 Refunds/Chargebacks/Misc,,190.00,,,190.00
Total for 5000.75 Bingo Costs-Other,"34,211.19","211,786.91",,"15,730.84","$261,728.94"
Total for 5000.00 Bingo COGS,"264,928.19","1,859,900.91",,"15,730.84","$2,140,559.94"
5100.5 Fundraising COGS,,,,,
5560 Donor Gifts,,,500.00,,500.00
Total for 5100.5 Fundraising COGS,,,500.00,,$500.00
Total for 50000 Cost of Goods Sold,"264,928.19","1,859,900.91",500.00,"15,730.84","$2,141,059.94"
Total for Cost of Goods Sold,"264,928.19","1,859,900.91",500.00,"15,730.84","$2,141,059.94"
Gross Profit,"67,314.81","468,285.77","68,009.06","-15,730.84","$587,878.80"
Expenses,,,,,
6000 Bingo Expenses,,,,,
6030 Refreshments/Meals,,"1,309.13",282.26,"1,023.84","2,615.23"
6040 Security Service,"1,776.00","7,387.22",,,"9,163.22"
6050 Advertising,352.50,733.74,,,"1,086.24"
6051 Rent,"14,400.00",,,,"14,400.00"
6060 Employee Meals,,"2,000.00",447.73,,"2,447.73"
6070 Employee Gifts,,277.75,,,277.75
"6082 Office Supplies, Decor and Fees",,322.61,,282.27,604.88
6085 Janitorial,,,,"13,526.49","13,526.49"
6088 Utilities,,52.99,,,52.99
6195 Outside Storage,,,,387.00,387.00
Total for 6000 Bingo Expenses,"16,528.50","12,083.44",729.99,"15,219.60","$44,561.53"
6001 Employee Related Expenses,,,,,
6010 Salary,,"6,350.76",,"54,996.80","61,347.56"
6020 Hourly,"7,481.11","41,036.58",,"5,416.25","53,933.94"
6115 Payroll Taxes,572.26,"3,200.02","3,470.64",505.37,"7,748.29"
6300 Benefits Insurance,,,,,
6300.01 Health,,,,"4,514.73","4,514.73"
6300.02 Dental,,,,637.20,637.20
6300.04 Other,,,186.00,-211.55,-25.55
Total for 6300 Benefits Insurance,,,186.00,"4,940.38","$5,126.38"
Total for 6001 Employee Related Expenses,"8,053.37","50,587.36","3,656.64","65,858.80","$128,156.17"
6100 Facilities Expenses,,,,,
6100.01 Repairs and Maintenance,,,,,
6110 Janitorial & Grounds,,,473.30,"1,920.17","2,393.47"
6120 Routine (HVAC & Others),,,,310.00,310.00
6130 Non Routine,,,"7,233.00","2,830.99","10,063.99"
Total for 6100.01 Repairs and Maintenance,,,"7,706.30","5,061.16","$12,767.46"
6150 Utilities - Power,,,,"5,398.04","5,398.04"
6160 Phones for Facility,,,,"4,358.88","4,358.88"
6170 Wireless & Internet,,,,"2,592.98","2,592.98"
6180 Alarm System,,,,112.99,112.99
6190 Inspections,,,"1,847.49",,"1,847.49"
Total for 6100 Facilities Expenses,,,"9,553.79","17,524.05","$27,077.84"
6200 IT Expenses,,,,,
6210 IT Consulting (Ian),,,,900.00,900.00
6230 Other IT Professional Fees,,,,190.05,190.05
6250 SAS Expense,,,,"7,907.87","7,907.87"
6260 IT Equipment,,,,217.66,217.66
Total for 6200 IT Expenses,,,,"9,215.58","$9,215.58"
6400 Insurance / Risk Management,,,,,
6410 Insurance Expenses,,,,,
6410.01 General Liability,,,,"8,912.06","8,912.06"
6410.03 Auto Liability,,,"1,400.00",,"1,400.00"
Total for 6410 Insurance Expenses,,,"1,400.00","8,912.06","$10,312.06"
Total for 6400 Insurance / Risk Management,,,"1,400.00","8,912.06","$10,312.06"
6500 Marketing And Fund Development,,,,,
6510 Advertising,,,"1,250.00","1,366.78","2,616.78"
Total for 6500 Marketing And Fund Development,,,"1,250.00","1,366.78","$2,616.78"
6600 Fleet Expenses,,,,,
6610 Fees/Dues DMV,,,,802.51,802.51
6620 Registrations,,,,486.00,486.00
6630 Auto -  Repairs and Maintenance,,,"3,083.64","13,509.33","16,592.97"
6640 Fuel - Vehicle,,,,"2,445.83","2,445.83"
6660 Compliance Tablets,,,117.64,,117.64
Total for 6600 Fleet Expenses,,,"3,201.28","17,243.67","$20,444.95"
6700 General And Admin Expenses,,,,,
6715 Office Supplies,,,,"3,457.16","3,457.16"
6725 Professional Fees Accounting,,,,"16,949.13","16,949.13"
6726 Payroll Services,,,,"4,395.90","4,395.90"
6728 Recruiting,,,,97.30,97.30
6770 Dues and Subscriptions,,,,11.99,11.99
6780 Bank Charges,,,,"1,597.42","1,597.42"
6787 Leased Equipment (Copiers),,,,"1,807.69","1,807.69"
6790 Admin Meals,,,149.16,317.28,466.44
6795 Admin Travel,,,,"6,034.49","6,034.49"
Total for 6700 General And Admin Expenses,,,149.16,"34,668.36","$34,817.52"
7000 Program Education And Creative,,,,,
7030 Dues and Subscriptions,,,,50.00,50.00
7040 Professional Organizations,,,399.00,,399.00
7100 Music Licensing,,,,"2,041.67","2,041.67"
7115 Design Fees,,,"6,208.33","2,500.00","8,708.33"
7315 Instrument Repair,,,,"2,805.41","2,805.41"
Total for 7000 Program Education And Creative,,,"6,607.33","7,397.08","$14,004.41"
"8000 Audition, Camps & Tour Expenses",,,,,
8210 Staff - Meals,,,276.81,,276.81
8220 Staff - Lodging,,,"1,390.17",,"1,390.17"
8230 Staff - Airfare,,,"5,314.62","2,034.87","7,349.49"
8250 Staff - Travel Other,,,177.32,,177.32
8410 Meals and Supplies,,,"3,750.00",,"3,750.00"
8530 Equipment Rental,,,500.45,,500.45
"Total for 8000 Audition, Camps & Tour Expenses",,,"11,409.37","2,034.87","$13,444.24"
Total for Expenses,"24,581.87","62,670.80","37,957.56","179,440.85","$304,651.08"
Net Operating Income,"42,732.94","405,614.97","30,051.50","-195,171.69","$283,227.72"
Other Income,,,,,
10000 Other Income,,,,"3,000.00","3,000.00"
10010 Interest Income,,,,"1,688.64","1,688.64"
Total for Other Income,,,,"4,688.64","$4,688.64"
Other Expenses,,,,,
11000 Brokerage Fees,,,,514.83,514.83
11010 Unrealized Gain/Loss from Inves,,,,"-16,572.17","-16,572.17"
11020 Interest Expense,,,,"1,647.56","1,647.56"
11050 Depreciation,,,,"24,942.61","24,942.61"
11060 Property Tax,,,,"2,134.81","2,134.81"
11090 Environmental Contributions,,,,271.66,271.66
11277 Donations,,,,"40,929.34","40,929.34"
Total for Other Expenses,,,,"53,868.64","$53,868.64"
Net Other Income,,,,"-49,180.00","-$49,180.00"
Net Income,"42,732.94","405,614.97","30,051.50","-244,351.69","$234,047.72"



"Accrual Basis Sunday, October 19, 2025 09:02 AM GMTZ",,,,,
