Profit and Loss by Class,,,,,,
Vanguard Music and Performing Arts,,,,,,
"July 1-31, 2025",,,,,,

Distribution account,Bingo - RWC,Bingo - SC,Santa Clara Vanguard,Shared Services,Not specified,Total
Income,,,,,,
4000 Revenue,,,,,,
4000.00 Bingo Revenue,,,,,,
4010 Cherry Sales,"1,254.00","49,800.00",,,,"51,054.00"
4020 Flash Sales,"437,114.00","1,477,720.00",,,,"1,914,834.00"
4030 Strip Sales,"404,931.00","933,295.00",,,,"1,338,226.00"
4040 Paper Sales,"16,789.00","29,452.00",,,,"46,241.00"
4050 Misc Bingo Supplies,874.00,"2,897.00",,,,"3,771.00"
Total for 4000.00 Bingo Revenue,"860,962.00","2,493,164.00",,,,"$3,354,126.00"
4100.00 Fundraising,,,,,,
4110 Net Donations - Unrestricted,"6,660.00",,"9,972.34","6,570.46",,"23,202.80"
4115 Net Donations - Restricted,,,"11,534.25",,,"11,534.25"
Total for 4100.00 Fundraising,"6,660.00",,"21,506.59","6,570.46",,"$34,737.05"
4200.00 Equipment Revenue,,,,,,
4240 Instruments Sales,,,"-62,736.32","62,736.32",,0.00
Total for 4200.00 Equipment Revenue,,,"-62,736.32","62,736.32",,$0.00
4300.00 Misc Revenue,,,,,,
4130 Commission Income,,,"3,600.58",,,"3,600.58"
4200 Appearance Fees (DCI and Non),,,"103,087.29",,,"103,087.29"
Total for 4300.00 Misc Revenue,,,"106,687.87",,,"$106,687.87"
4300 Other Misc. Revenue,,"1,200.00","1,958.50","1,701.91",100.00,"4,960.41"
4400 Tuition Revenue,,,,,,
4210 Tuition Fees,,,"-3,500.00","-3,500.00",,"-7,000.00"
Total for 4400 Tuition Revenue,,,"-3,500.00","-3,500.00",,"-$7,000.00"
Total for 4000 Revenue,"867,622.00","2,494,364.00","63,916.64","67,508.69",100.00,"$3,493,511.33"
Total for Income,"867,622.00","2,494,364.00","63,916.64","67,508.69",100.00,"$3,493,511.33"
Cost of Goods Sold,,,,,,
50000 Cost of Goods Sold,,,,,,
5000.00 Bingo COGS,,,,,,
5000.25 Bingo Payouts,,,,,,
5013 Cherry Payouts,"1,504.00","43,819.00",,,,"45,323.00"
5023 Flash Payouts,"305,487.00","1,032,677.00",,,,"1,338,164.00"
5033 Strips Payouts,"336,250.00","639,459.00",,,,"975,709.00"
5043 Paper and Electronic Payouts,"12,900.00","34,069.00",,,,"46,969.00"
Total for 5000.25 Bingo Payouts,"656,141.00","1,750,024.00",,,,"$2,406,165.00"
5000.75 Bingo Costs-Other,,,,,,
5012 Cards/Supplies,"93,513.36","133,926.22",,,,"227,439.58"
5090 City Permits,5.25,318.00,,,,323.25
5095 Credit Card Merchant Fees,,"28,771.37",,,,"28,771.37"
5302 Refunds/Chargebacks/Misc,"2,115.00","104,957.00",,,,"107,072.00"
Total for 5000.75 Bingo Costs-Other,"95,633.61","267,972.59",,,,"$363,606.20"
Total for 5000.00 Bingo COGS,"751,774.61","2,017,996.59",,,,"$2,769,771.20"
Total for 50000 Cost of Goods Sold,"751,774.61","2,017,996.59",,,,"$2,769,771.20"
Total for Cost of Goods Sold,"751,774.61","2,017,996.59",,,,"$2,769,771.20"
Gross Profit,"115,847.39","476,367.41","63,916.64","67,508.69",100.00,"$723,740.13"
Expenses,,,,,,
6000 Bingo Expenses,,,,,,
6030 Refreshments/Meals,228.42,817.91,,,,"1,046.33"
6040 Security Service,"5,696.25","8,150.86",,,,"13,847.11"
6050 Advertising,,"3,169.92",,,,"3,169.92"
6051 Rent,"12,000.00",,,,,"12,000.00"
6060 Employee Meals,,"4,000.00",,,,"4,000.00"
6080 Equip. Repairs and Maintenance,,"1,329.37",,,,"1,329.37"
"6082 Office Supplies, Decor and Fees",,"6,632.88",,,,"6,632.88"
6085 Janitorial,"2,769.00","4,161.00",,,,"6,930.00"
6088 Utilities,,195.40,,,,195.40
6195 Outside Storage,,387.00,,,,387.00
Total for 6000 Bingo Expenses,"20,693.67","28,844.34",,,,"$49,538.01"
6001 Employee Related Expenses,,,,,,
6010 Salary,,"20,487.68",,"113,388.88",,"133,876.56"
6020 Hourly,"37,816.84","120,669.67",,,,"158,486.51"
6115 Payroll Taxes,"2,726.46","10,893.83",,"8,077.31",-0.05,"21,697.55"
6300 Benefits Insurance,,,,,,
6300.01 Health,,,400.00,"5,244.75",,"5,644.75"
6300.02 Dental,,,,899.70,,899.70
6300.04 Other,,,,-192.30,,-192.30
Total for 6300 Benefits Insurance,,,400.00,"5,952.15",,"$6,352.15"
Total for 6001 Employee Related Expenses,"40,543.30","152,051.18",400.00,"127,418.34",-0.05,"$320,412.77"
6100 Facilities Expenses,,,,,,
6100.01 Repairs and Maintenance,,,,,,
6110 Janitorial & Grounds,,,,"7,401.05",,"7,401.05"
6130 Non Routine,,,954.00,"4,840.76",,"5,794.76"
Total for 6100.01 Repairs and Maintenance,,,954.00,"12,241.81",,"$13,195.81"
6150 Utilities - Power,,,,"3,907.88",,"3,907.88"
6160 Phones for Facility,,,"3,774.89",,,"3,774.89"
6170 Wireless & Internet,,,,"2,745.68",,"2,745.68"
6180 Alarm System,,,,183.25,,183.25
6190 Inspections,,,,800.00,,800.00
Total for 6100 Facilities Expenses,,,"4,728.89","19,878.62",,"$24,607.51"
6200 IT Expenses,,,,,,
6210 IT Consulting (Ian),,,,750.00,,750.00
6230 Other IT Professional Fees,,,,190.05,,190.05
6250 SAS Expense,,,,"21,512.73",,"21,512.73"
6260 IT Equipment,,,,"1,541.60",,"1,541.60"
Total for 6200 IT Expenses,,,,"23,994.38",,"$23,994.38"
6400 Insurance / Risk Management,,,,,,
6410 Insurance Expenses,,,,,,
6410.01 General Liability,,,,"5,690.88",,"5,690.88"
Total for 6410 Insurance Expenses,,,,"5,690.88",,"$5,690.88"
Total for 6400 Insurance / Risk Management,,,,"5,690.88",,"$5,690.88"
6500 Marketing And Fund Development,,,,,,
6510 Advertising,,,,"5,720.84",137.55,"5,858.39"
6540 Events,,,"3,115.60",,,"3,115.60"
Total for 6500 Marketing And Fund Development,,,"3,115.60","5,720.84",137.55,"$8,973.99"
6600 Fleet Expenses,,,,,,
6610 Fees/Dues DMV,,,,"2,235.18",,"2,235.18"
6630 Auto -  Repairs and Maintenance,,,,"17,374.85",,"17,374.85"
6640 Fuel - Vehicle,,,295.40,221.61,,517.01
6660 Compliance Tablets,,,,117.64,,117.64
Total for 6600 Fleet Expenses,,,295.40,"19,949.28",,"$20,244.68"
6700 General And Admin Expenses,,,,,,
6715 Office Supplies,,,"1,062.49","4,536.20",,"5,598.69"
6720 Legal,,,,"7,379.00",,"7,379.00"
6725 Professional Fees Accounting,,,,"22,199.15",,"22,199.15"
6726 Payroll Services,,,,"5,731.65",,"5,731.65"
6727 Professional Fees Consulting,,,,"9,790.00",,"9,790.00"
6728 Recruiting,,,,"3,574.07",,"3,574.07"
6750 Equipment Under $5K - Program,,,"4,460.49",,,"4,460.49"
6770 Dues and Subscriptions,,,,136.99,,136.99
6780 Bank Charges,0.16,1.46,60.03,"2,494.48",,"2,556.13"
6790 Admin Meals,,,499.97,759.78,,"1,259.75"
6791 Admin Employee Gifts,,,524.00,,,524.00
6795 Admin Travel,,,"1,748.87","2,919.64",,"4,668.51"
Total for 6700 General And Admin Expenses,0.16,1.46,"8,355.85","59,520.96",,"$67,878.43"
7000 Program Education And Creative,,,,,,
7010 Education Staff Prof. Devlpmt.,,,,"1,500.00",,"1,500.00"
7100 Music Licensing,,,"3,821.57",,,"3,821.57"
7115 Design Fees,,,208.33,,,208.33
7315 Instrument Repair,,,"6,024.79",,,"6,024.79"
Total for 7000 Program Education And Creative,,,"10,054.69","1,500.00",,"$11,554.69"
"8000 Audition, Camps & Tour Expenses",,,,,,
8110 Tour Food,,,"-130,557.15",,"178,150.37","47,593.22"
8210 Staff - Meals,,,316.31,,,316.31
8220 Staff - Lodging,,,"30,997.55",359.42,-574.24,"30,782.73"
8230 Staff - Airfare,,,"11,940.99","2,018.36",,"13,959.35"
8240 Staff  - Car Rentals,,,726.74,,,726.74
8250 Staff - Travel Other,,,978.39,,,978.39
8340 Bus Rental,,,"39,081.72","1,900.00",,"40,981.72"
8345 Staff & Students Meals,,,"10,828.03",,,"10,828.03"
8348 Tour Supplies,,,"76,129.99",11.83,,"76,141.82"
8350 Fuel,,,"45,245.55",,,"45,245.55"
8410 Meals and Supplies,,,"1,586.45","1,795.41",,"3,381.86"
8420 Tour Housing,,,"2,001.26",,"7,200.00","9,201.26"
8530 Equipment Rental,,,"1,377.99",525.46,,"1,903.45"
8535 Materials,,,"1,195.29",,,"1,195.29"
8538 Uniform and Accessories,,,929.38,,,929.38
8540 Medical Expenses and Supplies,,,95.83,169.74,,265.57
8610 Facility Rental,,,,"9,600.00",,"9,600.00"
"Total for 8000 Audition, Camps & Tour Expenses",,,"92,874.32","16,380.22","184,776.13","$294,030.67"
Bad Debt Expense,,,,"2,000.00",,"2,000.00"
Total for Expenses,"61,237.13","180,896.98","119,824.75","282,053.52","184,913.63","$828,926.01"
Net Operating Income,"54,610.26","295,470.43","-55,908.11","-214,544.83","-184,813.63","-$105,185.88"
Other Income,,,,,,
10000 Other Income,,,,"1,836.74",,"1,836.74"
10010 Interest Income,,,"10,104.44","42,950.11",,"53,054.55"
Total for Other Income,,,"10,104.44","44,786.85",,"$54,891.29"
Other Expenses,,,,,,
11000 Brokerage Fees,,,,674.05,,674.05
11010 Unrealized Gain/Loss from Inves,,,,"-13,363.31",,"-13,363.31"
11020 Interest Expense,,,,"1,678.91",,"1,678.91"
11050 Depreciation,,,,"25,481.89",,"25,481.89"
11060 Property Tax,,,,"2,134.81",,"2,134.81"
11277 Donations,,,,"202,035.97",,"202,035.97"
Total for Other Expenses,,,,"218,642.32",,"$218,642.32"
Net Other Income,,,"10,104.44","-173,855.47",,"-$163,751.03"
Net Income,"54,610.26","295,470.43","-45,803.67","-388,400.30","-184,813.63","-$268,936.91"



