Profit and Loss by Class,,,,,,,,
Vanguard Music and Performing Arts,,,,,,,,
"October 1-31, 2024",,,,,,,,

Distribution account,Bingo - RWC,Bingo - SC,Santa Clara Vanguard,Shared Services,Texas Affiliate,Vanguard School of Music,Not specified,Total
Income,,,,,,,,
4000 Revenue,,,,,,,,
4000.00 Bingo Revenue,,,,,,,,
4010 Cherry Sales,"2,500.00","45,721.00",,,,,,"48,221.00"
4020 Flash Sales,"201,293.00","1,195,044.00",,,,,,"1,396,337.00"
4030 Strip Sales,"195,334.00","751,856.00",,,,,,"947,190.00"
4040 Paper Sales,"17,341.00","37,008.00",,,,,,"54,349.00"
Total for 4000.00 Bingo Revenue,"416,468.00","2,029,629.00",,,,,,"$2,446,097.00"
4100.00 Fundraising,,,,,,,,
4110 Net Donations - Unrestricted,,,"39,084.83","2,467.68",,"17,440.00",,"58,992.51"
Total for 4100.00 Fundraising,,,"39,084.83","2,467.68",,"17,440.00",,"$58,992.51"
4200.00 Equipment Revenue,,,,,,,,
"4230 Equipment Sales (props, Flags)",,,"9,916.50",,,,,"9,916.50"
4240 Instruments Sales,,,"11,166.00",,,,,"11,166.00"
Total for 4200.00 Equipment Revenue,,,"21,082.50",,,,,"$21,082.50"
4260 Entertainer Leasing,,,"11,400.00",,,,,"11,400.00"
4300.00 Misc Revenue,,,,,,,,
4135 Net Events,,,"12,852.19",,,,,"12,852.19"
Total for 4300.00 Misc Revenue,,,"12,852.19",,,,,"$12,852.19"
4300 Other Misc. Revenue,,"1,200.00","9,465.65","18,256.75",,,0.00,"28,922.40"
Total for 4000 Revenue,"416,468.00","2,030,829.00","93,885.17","20,724.43",,"17,440.00",0.00,"$2,579,346.60"
Total for Income,"416,468.00","2,030,829.00","93,885.17","20,724.43",,"17,440.00",0.00,"$2,579,346.60"
Cost of Goods Sold,,,,,,,,
50000 Cost of Goods Sold,,,,,,,,
5000.00 Bingo COGS,,,,,,,,
5000.25 Bingo Payouts,,,,,,,,
5013 Cherry Payouts,"1,942.00","40,662.00",,,,,,"42,604.00"
5023 Flash Payouts,"148,541.00","847,674.00",,,,,,"996,215.00"
5033 Strips Payouts,"150,220.00","489,000.00",,,,,,"639,220.00"
5043 Paper and Electronic Payouts,"17,790.00","50,456.00",,,,,,"68,246.00"
Total for 5000.25 Bingo Payouts,"318,493.00","1,427,792.00",,,,,,"$1,746,285.00"
5000.75 Bingo Costs-Other,,,,,,,,
5012 Cards/Supplies,"8,526.56","227,279.55",,,,,,"235,806.11"
5090 City Permits,,300.00,,,,,,300.00
5095 Credit Card Merchant Fees,,"18,761.39",,20.00,,,,"18,781.39"
Total for 5000.75 Bingo Costs-Other,"8,526.56","246,340.94",,20.00,,,,"$254,887.50"
Total for 5000.00 Bingo COGS,"327,019.56","1,674,132.94",,20.00,,,,"$2,001,172.50"
Total for 50000 Cost of Goods Sold,"327,019.56","1,674,132.94",,20.00,,,,"$2,001,172.50"
Total for Cost of Goods Sold,"327,019.56","1,674,132.94",,20.00,,,,"$2,001,172.50"
Gross Profit,"89,448.44","356,696.06","93,885.17","20,704.43",,"17,440.00",0.00,"$578,174.10"
Expenses,,,,,,,,
6000 Bingo Expenses,,,,,,,,
6030 Refreshments/Meals,,"1,005.06",,,,,,"1,005.06"
6040 Security Service,"2,880.00","6,247.22",,,,,,"9,127.22"
6050 Advertising,"1,724.96","1,930.48",,,,,,"3,655.44"
6051 Rent,"9,600.00","2,400.00",,,,,,"12,000.00"
6060 Employee Meals,,"4,004.78",,,,,,"4,004.78"
6070 Employee Gifts,,"1,346.98",,,,,,"1,346.98"
6080 Equip. Repairs and Maintenance,,287.50,,,,,,287.50
"6082 Office Supplies, Decor and Fees",779.89,"2,247.56",,,,,,"3,027.45"
6085 Janitorial,,"4,308.30",,,,,,"4,308.30"
6088 Utilities,,52.99,,,,,,52.99
6195 Outside Storage,,387.00,,,,,,387.00
Total for 6000 Bingo Expenses,"14,984.85","24,217.87",,,,,,"$39,202.72"
6001 Employee Related Expenses,,,,,,,,
6010 Salary,,,"31,648.53","66,783.20","21,669.76",,,"120,101.49"
6020 Hourly,,,"22,439.36","33,777.72","1,287.50",,,"57,504.58"
6115 Payroll Taxes,,,"10,440.71","9,602.35","1,327.62",,,"21,370.68"
6300 Benefits Insurance,,,,,,,,
6300.01 Health,,,,"5,199.72",,,,"5,199.72"
6300.02 Dental,,,,812.20,,,,812.20
6300.04 Other,,,"1,411.10",887.74,,,,"2,298.84"
Total for 6300 Benefits Insurance,,,"1,411.10","6,899.66",,,,"$8,310.76"
Total for 6001 Employee Related Expenses,,,"65,939.70","117,062.93","24,284.88",,,"$207,287.51"
6100 Facilities Expenses,,,,,,,,
6100.01 Repairs and Maintenance,,,,,,,,
6110 Janitorial & Grounds,,,,"4,080.39",,,,"4,080.39"
6120 Routine (HVAC & Others),,,,310.00,,,,310.00
Total for 6100.01 Repairs and Maintenance,,,,"4,390.39",,,,"$4,390.39"
6150 Utilities - Power,,,,"6,260.28",,,,"6,260.28"
6160 Phones for Facility,,,,"3,553.70",,,,"3,553.70"
6170 Wireless & Internet,,,,"2,477.08",,,,"2,477.08"
6180 Alarm System,,,,484.38,,,,484.38
6190 Inspections,,,,"2,224.68",,,,"2,224.68"
Total for 6100 Facilities Expenses,,,,"19,390.51",,,,"$19,390.51"
6200 IT Expenses,,,,,,,,
6210 IT Consulting (Ian),,,,750.00,,,,750.00
6230 Other IT Professional Fees,,,,190.05,,,,190.05
6250 SAS Expense,,,,"11,470.68",,,,"11,470.68"
6260 IT Equipment,,,,"2,577.76",,,,"2,577.76"
Total for 6200 IT Expenses,,,,"14,988.49",,,,"$14,988.49"
6400 Insurance / Risk Management,,,,,,,,
6410 Insurance Expenses,,,,,,,,
6410.01 General Liability,,,,"8,784.48",,,,"8,784.48"
6410.03 Auto Liability,,,,"1,350.00",,,,"1,350.00"
Total for 6410 Insurance Expenses,,,,"10,134.48",,,,"$10,134.48"
6420 Other Insurance,,,,,682.53,,,682.53
Total for 6400 Insurance / Risk Management,,,,"10,134.48",682.53,,,"$10,817.01"
6500 Marketing And Fund Development,,,,,,,,
6510 Advertising,,,,"1,547.17",,,,"1,547.17"
6540 Events,,,,300.00,,,,300.00
Total for 6500 Marketing And Fund Development,,,,"1,847.17",,,,"$1,847.17"
6600 Fleet Expenses,,,,,,,,
6610 Fees/Dues DMV,,,,499.93,,,,499.93
6630 Auto -  Repairs and Maintenance,,,19.99,"5,065.67",,,,"5,085.66"
6640 Fuel - Vehicle,,,,"3,229.36",,,,"3,229.36"
6660 Compliance Tablets,,,,117.64,,,,117.64
Total for 6600 Fleet Expenses,,,19.99,"8,912.60",,,,"$8,932.59"
6700 General And Admin Expenses,,,,,,,,
6715 Office Supplies,186.83,255.22,512.86,"2,350.48",,,,"3,305.39"
6725 Professional Fees Accounting,,,"16,949.13",,,,,"16,949.13"
6726 Payroll Services,,,,"15,393.35",,,,"15,393.35"
6728 Recruiting,,,,905.26,,,,905.26
6770 Dues and Subscriptions,,,,108.00,,,,108.00
6780 Bank Charges,,,"2,269.95","1,958.27",,,,"4,228.22"
6787 Leased Equipment (Copiers),,,988.93,,,,,988.93
6790 Admin Meals,,,,563.35,,,,563.35
6791 Admin Employee Gifts,,,135.28,,,,,135.28
6795 Admin Travel,,,435.21,274.06,,,,709.27
Total for 6700 General And Admin Expenses,186.83,255.22,"21,291.36","21,552.77",,,,"$43,286.18"
7000 Program Education And Creative,,,,,,,,
7115 Design Fees,,,"7,125.00",,,,,"7,125.00"
7315 Instrument Repair,,,"1,309.48",,,,,"1,309.48"
Total for 7000 Program Education And Creative,,,"8,434.48",,,,,"$8,434.48"
"8000 Audition, Camps & Tour Expenses",,,,,,,,
8220 Staff - Lodging,,,745.78,,,,,745.78
8230 Staff - Airfare,,,"5,443.71",,,,,"5,443.71"
8530 Equipment Rental,,,500.45,,,,,500.45
8900 Tour Misc,,,"-1,888.00",,,,,"-1,888.00"
"Total for 8000 Audition, Camps & Tour Expenses",,,"4,801.94",,,,,"$4,801.94"
Bad Debt Expense,,,"34,263.00",,,,,"34,263.00"
Total for Expenses,"15,171.68","24,473.09","134,750.47","193,888.95","24,967.41",,,"$393,251.60"
Net Operating Income,"74,276.76","332,222.97","-40,865.30","-173,184.52","-24,967.41","17,440.00",0.00,"$184,922.50"
Other Income,,,,,,,,
10010 Interest Income,,,,985.27,,,,985.27
Total for Other Income,,,,985.27,,,,$985.27
Other Expenses,,,,,,,,
11000 Brokerage Fees,,,,537.01,,,,537.01
11010 Unrealized Gain/Loss from Inves,,,,"5,734.85",,,,"5,734.85"
11020 Interest Expense,,,,"2,094.14",,,,"2,094.14"
11040 State Tax,,,163.82,,,,,163.82
11050 Depreciation,,,"24,144.70",,,,,"24,144.70"
11060 Property Tax,,,"2,134.81",,,,,"2,134.81"
11080 Other Miscellaneus Expenses,,,,-269.00,,,,-269.00
11090 Environmental Contributions,,,,499.65,,,,499.65
Total for Other Expenses,,,"26,443.33","8,596.65",,,,"$35,039.98"
Net Other Income,,,"-26,443.33","-7,611.38",,,,"-$34,054.71"
Net Income,"74,276.76","332,222.97","-67,308.63","-180,795.90","-24,967.41","17,440.00",0.00,"$150,867.79"



"Accrual Basis Sunday, October 19, 2025 09:02 AM GMTZ",,,,,,,,
