Profit and Loss by Class,,,,,,
Vanguard Music and Performing Arts,,,,,,
"March 1-31, 2025",,,,,,

Distribution account,Alumni Association,Bingo - RWC,Bingo - SC,Santa Clara Vanguard,Shared Services,Total
Income,,,,,,
4000 Revenue,,,,,,
4000.00 Bingo Revenue,,,,,,
4010 Cherry Sales,,"8,222.00","77,949.00",,,"86,171.00"
4020 Flash Sales,,"315,185.00","1,699,541.00",,,"2,014,726.00"
4030 Strip Sales,,"257,451.00","942,785.00",,,"1,200,236.00"
4040 Paper Sales,,"13,747.00","48,604.00",,,"62,351.00"
4050 Misc Bingo Supplies,,679.00,"3,430.00",,,"4,109.00"
Total for 4000.00 Bingo Revenue,,"595,284.00","2,772,309.00",,,"$3,367,593.00"
4100.00 Fundraising,,,,,,
4110 Net Donations - Unrestricted,,"3,707.00",,"38,229.88",,"41,936.88"
4115 Net Donations - Restricted,"1,590.00",,,,,"1,590.00"
Total for 4100.00 Fundraising,"1,590.00","3,707.00",,"38,229.88",,"$43,526.88"
4200.00 Equipment Revenue,,,,,,
"4230 Equipment Sales (props, Flags)",,,,100.00,,100.00
4240 Instruments Sales,,,,"17,057.77",,"17,057.77"
Total for 4200.00 Equipment Revenue,,,,"17,157.77",,"$17,157.77"
4260 Entertainer Leasing,,,,"10,700.00",,"10,700.00"
4300.00 Misc Revenue,,,,,,
4130 Commission Income,,,,581.80,,581.80
Total for 4300.00 Misc Revenue,,,,581.80,,$581.80
4300 Other Misc. Revenue,,,"1,200.00","4,462.83",,"5,662.83"
4400 Tuition Revenue,,,,,,
4210 Tuition Fees,,,,"205,025.00",,"205,025.00"
Total for 4400 Tuition Revenue,,,,"205,025.00",,"$205,025.00"
Total for 4000 Revenue,"1,590.00","598,991.00","2,773,509.00","276,157.28",,"$3,650,247.28"
Total for Income,"1,590.00","598,991.00","2,773,509.00","276,157.28",,"$3,650,247.28"
Cost of Goods Sold,,,,,,
50000 Cost of Goods Sold,,,,,,
5000.00 Bingo COGS,,,,,,
5000.25 Bingo Payouts,,,,,,
5013 Cherry Payouts,,"6,049.00","63,941.00",,,"69,990.00"
5023 Flash Payouts,,"217,818.00","1,197,081.00",,,"1,414,899.00"
5033 Strips Payouts,,"206,200.00","594,802.00",,,"801,002.00"
5043 Paper and Electronic Payouts,,"20,326.00","60,162.00",,,"80,488.00"
Total for 5000.25 Bingo Payouts,,"450,393.00","1,915,986.00",,,"$2,366,379.00"
5000.75 Bingo Costs-Other,,,,,,
5012 Cards/Supplies,,"49,502.98","249,367.63",,708.33,"299,578.94"
5090 City Permits,,,"1,032.00",,,"1,032.00"
5095 Credit Card Merchant Fees,,,"17,223.57",,666.44,"17,890.01"
5302 Refunds/Chargebacks/Misc,,"1,899.00","24,626.00",,,"26,525.00"
Total for 5000.75 Bingo Costs-Other,,"51,401.98","292,249.20",,"1,374.77","$345,025.95"
Total for 5000.00 Bingo COGS,,"501,794.98","2,208,235.20",,"1,374.77","$2,711,404.95"
5200 Equipment COGS,,,,,,
5310 Instrument Purchases,,,,"2,193.40",,"2,193.40"
Total for 5200 Equipment COGS,,,,"2,193.40",,"$2,193.40"
Total for 50000 Cost of Goods Sold,,"501,794.98","2,208,235.20","2,193.40","1,374.77","$2,713,598.35"
Total for Cost of Goods Sold,,"501,794.98","2,208,235.20","2,193.40","1,374.77","$2,713,598.35"
Gross Profit,"1,590.00","97,196.02","565,273.80","273,963.88","-1,374.77","$936,648.93"
Expenses,,,,,,
6000 Bingo Expenses,,,,,,
6030 Refreshments/Meals,,,372.60,"1,178.06",41.50,"1,592.16"
6040 Security Service,,"3,408.00","7,089.00",,615.51,"11,112.51"
6050 Advertising,,,,,"2,074.48","2,074.48"
6051 Rent,,"13,200.00",,,"-2,400.00","10,800.00"
6060 Employee Meals,,,,,"2,000.00","2,000.00"
6080 Equip. Repairs and Maintenance,,,,,482.76,482.76
"6082 Office Supplies, Decor and Fees",,,"1,345.08",,970.20,"2,315.28"
6085 Janitorial,,,"6,245.82",,,"6,245.82"
6088 Utilities,,,52.99,,142.41,195.40
6195 Outside Storage,,,387.00,,,387.00
Total for 6000 Bingo Expenses,,"16,608.00","15,492.49","1,178.06","3,926.86","$37,205.41"
6001 Employee Related Expenses,,,,,,
6010 Salary,,,"6,033.22",,"57,430.08","63,463.30"
6020 Hourly,,"19,875.81","34,175.72",,914.52,"54,966.05"
6035 Bonus,,,,,"4,115.00","4,115.00"
6115 Payroll Taxes,,"1,756.84","2,907.66",,"4,694.26","9,358.76"
6300 Benefits Insurance,,,,,,
6300.01 Health,,,,,"7,057.89","7,057.89"
6300.02 Dental,,,,,899.70,899.70
6300.04 Other,,,,,850.23,850.23
Total for 6300 Benefits Insurance,,,,,"8,807.82","$8,807.82"
Total for 6001 Employee Related Expenses,,"21,632.65","43,116.60",,"75,961.68","$140,710.93"
6100 Facilities Expenses,,,,,,
6100.01 Repairs and Maintenance,,,,,,
6110 Janitorial & Grounds,,,,,919.39,919.39
6130 Non Routine,,,,,"20,069.14","20,069.14"
Total for 6100.01 Repairs and Maintenance,,,,,"20,988.53","$20,988.53"
6150 Utilities - Power,,,,,"4,540.77","4,540.77"
6160 Phones for Facility,,,,,"3,153.81","3,153.81"
6170 Wireless & Internet,,,,,"3,601.12","3,601.12"
6180 Alarm System,,,,,26.25,26.25
Total for 6100 Facilities Expenses,,,,,"32,310.48","$32,310.48"
6200 IT Expenses,,,,,,
6210 IT Consulting (Ian),,,,,600.00,600.00
6230 Other IT Professional Fees,,,,,190.05,190.05
6250 SAS Expense,,,,,"16,807.99","16,807.99"
Total for 6200 IT Expenses,,,,,"17,598.04","$17,598.04"
6400 Insurance / Risk Management,,,,,,
6410 Insurance Expenses,,,,,,
6410.01 General Liability,,,,,"11,698.92","11,698.92"
6410.03 Auto Liability,,,,"1,300.00",,"1,300.00"
Total for 6410 Insurance Expenses,,,,"1,300.00","11,698.92","$12,998.92"
Total for 6400 Insurance / Risk Management,,,,"1,300.00","11,698.92","$12,998.92"
6500 Marketing And Fund Development,,,,,,
6510 Advertising,,,,,"3,161.11","3,161.11"
Total for 6500 Marketing And Fund Development,,,,,"3,161.11","$3,161.11"
6600 Fleet Expenses,,,,,,
6610 Fees/Dues DMV,,,,,986.46,986.46
6630 Auto -  Repairs and Maintenance,,,,"6,185.03","95,867.33","102,052.36"
6640 Fuel - Vehicle,,,,,"2,058.72","2,058.72"
6660 Compliance Tablets,,,,,117.64,117.64
Total for 6600 Fleet Expenses,,,,"6,185.03","99,030.15","$105,215.18"
6700 General And Admin Expenses,,,,,,
6715 Office Supplies,,,"2,123.92",13.85,"2,918.51","5,056.28"
6718 Postage Stamps/Supplies,,,,,67.78,67.78
6725 Professional Fees Accounting,,,,,"19,015.00","19,015.00"
6726 Payroll Services,,,,,"3,905.75","3,905.75"
6750 Equipment Under $5K - Program,,,,,"1,192.00","1,192.00"
6770 Dues and Subscriptions,,,,,11.99,11.99
6780 Bank Charges,,,,,"5,560.68","5,560.68"
6790 Admin Meals,,,,,"2,222.50","2,222.50"
6795 Admin Travel,,,,143.85,"1,732.89","1,876.74"
Total for 6700 General And Admin Expenses,,,"2,123.92",157.70,"36,627.10","$38,908.72"
7000 Program Education And Creative,,,,,,
7100 Music Licensing,,,,,208.33,208.33
7115 Design Fees,,,,"6,000.00","3,491.66","9,491.66"
7240 Education Staff - Car Rentals,,,,151.23,,151.23
7315 Instrument Repair,,,,598.08,,598.08
Total for 7000 Program Education And Creative,,,,"6,749.31","3,699.99","$10,449.30"
"8000 Audition, Camps & Tour Expenses",,,,,,
8110 Tour Food,,,,"7,200.00",,"7,200.00"
8210 Staff - Meals,,,,58.11,,58.11
8220 Staff - Lodging,,,,"4,608.66",,"4,608.66"
8230 Staff - Airfare,,,,"2,831.54","-1,059.44","1,772.10"
8250 Staff - Travel Other,,,,325.22,,325.22
8310 Member Transportation - Airfare,,,,143.98,,143.98
8340 Bus Rental,,,,"102,225.00",,"102,225.00"
8345 Staff & Students Meals,,,,"6,953.96",,"6,953.96"
8350 Fuel,,,,"1,045.16",,"1,045.16"
8410 Meals and Supplies,,,,387.76,,387.76
8510 Event Venue Rental,,,,"4,600.00",,"4,600.00"
8520 Equipment Purchase,,,,"10,136.16",,"10,136.16"
8530 Equipment Rental,,,,525.46,,525.46
8710 Wellness and Fitness Training,,,,252.50,,252.50
"Total for 8000 Audition, Camps & Tour Expenses",,,,"141,293.51","-1,059.44","$140,234.07"
Bad Debt Expense,,,,,"2,000.00","2,000.00"
Total for Expenses,,"38,240.65","60,733.01","156,863.61","284,954.89","$540,792.16"
Net Operating Income,"1,590.00","58,955.37","504,540.79","117,100.27","-286,329.66","$395,856.77"
Other Income,,,,,,
10010 Interest Income,,,,,"3,392.58","3,392.58"
Total for Other Income,,,,,"3,392.58","$3,392.58"
Other Expenses,,,,,,
11000 Brokerage Fees,,,,,655.63,655.63
11010 Unrealized Gain/Loss from Inves,,,,,"21,942.10","21,942.10"
11020 Interest Expense,,,,,"2,191.22","2,191.22"
11040 State Tax,,,,,-10.73,-10.73
11050 Depreciation,,,,,"13,355.60","13,355.60"
11060 Property Tax,,,,,"2,134.81","2,134.81"
11277 Donations,,,,,"38,825.11","38,825.11"
Total for Other Expenses,,,,,"79,093.74","$79,093.74"
Net Other Income,,,,,"-75,701.16","-$75,701.16"
Net Income,"1,590.00","58,955.37","504,540.79","117,100.27","-362,030.82","$320,155.61"



"Accrual Basis Sunday, October 19, 2025 08:59 AM GMTZ",,,,,,
