Profit and Loss by Class,,,,,,
Vanguard Music and Performing Arts,,,,,,
"February 1-28, 2025",,,,,,

Distribution account,Alumni Association,Bingo - RWC,Bingo - SC,Santa Clara Vanguard,Shared Services,Total
Income,,,,,,
4000 Revenue,,,,,,
4000.00 Bingo Revenue,,,,,,
4010 Cherry Sales,,"4,871.00","54,643.00",,,"59,514.00"
4020 Flash Sales,,"161,428.00","1,393,949.00",,,"1,555,377.00"
4030 Strip Sales,,"149,610.00","788,122.00",,,"937,732.00"
4040 Paper Sales,,"8,395.00","41,069.00",,,"49,464.00"
4050 Misc Bingo Supplies,,492.00,"2,725.00",,,"3,217.00"
Total for 4000.00 Bingo Revenue,,"324,796.00","2,280,508.00",,,"$2,605,304.00"
4100.00 Fundraising,,,,,,
4110 Net Donations - Unrestricted,,"4,184.00","15,068.00","6,644.54",,"25,896.54"
4115 Net Donations - Restricted,"3,490.00",,,,,"3,490.00"
Total for 4100.00 Fundraising,"3,490.00","4,184.00","15,068.00","6,644.54",,"$29,386.54"
4200.00 Equipment Revenue,,,,,,
4240 Instruments Sales,,,,"3,904.40",,"3,904.40"
Total for 4200.00 Equipment Revenue,,,,"3,904.40",,"$3,904.40"
4260 Entertainer Leasing,,,,"15,600.00",,"15,600.00"
4300.00 Misc Revenue,,,,,,
4200 Appearance Fees (DCI and Non),,,,"4,789.32",,"4,789.32"
Total for 4300.00 Misc Revenue,,,,"4,789.32",,"$4,789.32"
4300 Other Misc. Revenue,,,"1,200.00","5,869.94",,"7,069.94"
4400 Tuition Revenue,,,,,,
4210 Tuition Fees,,,,"207,915.32",,"207,915.32"
Total for 4400 Tuition Revenue,,,,"207,915.32",,"$207,915.32"
Total for 4000 Revenue,"3,490.00","328,980.00","2,296,776.00","244,723.52",,"$2,873,969.52"
Total for Income,"3,490.00","328,980.00","2,296,776.00","244,723.52",,"$2,873,969.52"
Cost of Goods Sold,,,,,,
50000 Cost of Goods Sold,,,,,,
5000.00 Bingo COGS,,,,,,
5000.25 Bingo Payouts,,,,,,
5013 Cherry Payouts,,"3,542.00","45,847.00",,,"49,389.00"
5023 Flash Payouts,,"114,044.00","984,205.00",,,"1,098,249.00"
5033 Strips Payouts,,"128,000.00","501,060.00",,,"629,060.00"
5043 Paper and Electronic Payouts,,"13,401.00","48,519.00",,,"61,920.00"
Total for 5000.25 Bingo Payouts,,"258,987.00","1,579,631.00",,,"$1,838,618.00"
5000.75 Bingo Costs-Other,,,,,,
5012 Cards/Supplies,,"45,528.30","284,038.86",,708.33,"330,275.49"
5090 City Permits,,,300.00,,-38.00,262.00
5095 Credit Card Merchant Fees,,,"15,932.58",,904.03,"16,836.61"
5302 Refunds/Chargebacks/Misc,,"1,026.00","14,360.51",,,"15,386.51"
Total for 5000.75 Bingo Costs-Other,,"46,554.30","314,631.95",,"1,574.36","$362,760.61"
Total for 5000.00 Bingo COGS,,"305,541.30","1,894,262.95",,"1,574.36","$2,201,378.61"
5200 Equipment COGS,,,,,,
5310 Instrument Purchases,,,,265.40,,265.40
Total for 5200 Equipment COGS,,,,265.40,,$265.40
Total for 50000 Cost of Goods Sold,,"305,541.30","1,894,262.95",265.40,"1,574.36","$2,201,644.01"
Total for Cost of Goods Sold,,"305,541.30","1,894,262.95",265.40,"1,574.36","$2,201,644.01"
Gross Profit,"3,490.00","23,438.70","402,513.05","244,458.12","-1,574.36","$672,325.51"
Expenses,,,,,,
6000 Bingo Expenses,,,,,,
6030 Refreshments/Meals,,,76.67,980.57,316.88,"1,374.12"
6040 Security Service,,"2,304.00","6,336.00",,,"8,640.00"
6050 Advertising,,,,,"2,049.18","2,049.18"
6051 Rent,,"9,600.00",,,"-8,400.00","1,200.00"
6060 Employee Meals,,,,,"2,000.00","2,000.00"
"6082 Office Supplies, Decor and Fees",85.47,,26.16,,"2,343.82","2,455.45"
6085 Janitorial,,,"6,954.00",,,"6,954.00"
6088 Utilities,,,52.99,,142.41,195.40
6195 Outside Storage,,,387.00,,,387.00
Total for 6000 Bingo Expenses,85.47,"11,904.00","13,832.82",980.57,"-1,547.71","$25,255.15"
6001 Employee Related Expenses,,,,,,
6010 Salary,,,"6,350.76",,"59,958.12","66,308.88"
6020 Hourly,,"8,001.10","43,890.13",,227.50,"52,118.73"
6115 Payroll Taxes,,463.02,"3,807.89",,"4,572.13","8,843.04"
6300 Benefits Insurance,,,,,,
6300.01 Health,,,,,"4,338.18","4,338.18"
6300.02 Dental,,,,,637.20,637.20
6300.04 Other,,,,,-43.79,-43.79
Total for 6300 Benefits Insurance,,,,,"4,931.59","$4,931.59"
Total for 6001 Employee Related Expenses,,"8,464.12","54,048.78",,"69,689.34","$132,202.24"
6100 Facilities Expenses,,,,,,
6100.01 Repairs and Maintenance,,,,,,
6110 Janitorial & Grounds,,,,,"3,937.65","3,937.65"
6120 Routine (HVAC & Others),,,,"1,205.32",,"1,205.32"
6130 Non Routine,,,,,"18,190.20","18,190.20"
Total for 6100.01 Repairs and Maintenance,,,,"1,205.32","22,127.85","$23,333.17"
6150 Utilities - Power,,,,,"2,883.31","2,883.31"
6160 Phones for Facility,,,,,"3,154.93","3,154.93"
6170 Wireless & Internet,,,,,"3,043.30","3,043.30"
6180 Alarm System,,,,,427.74,427.74
6190 Inspections,,,,,"1,245.65","1,245.65"
Total for 6100 Facilities Expenses,,,,"1,205.32","32,882.78","$34,088.10"
6200 IT Expenses,,,,,,
6210 IT Consulting (Ian),,,,,600.00,600.00
6230 Other IT Professional Fees,,,,,190.05,190.05
6250 SAS Expense,,,,,"15,528.69","15,528.69"
Total for 6200 IT Expenses,,,,,"16,318.74","$16,318.74"
6400 Insurance / Risk Management,,,,,,
6410 Insurance Expenses,,,,,,
6410.01 General Liability,,,,,"23,205.99","23,205.99"
6410.03 Auto Liability,,,,"1,400.00",,"1,400.00"
Total for 6410 Insurance Expenses,,,,"1,400.00","23,205.99","$24,605.99"
Total for 6400 Insurance / Risk Management,,,,"1,400.00","23,205.99","$24,605.99"
6500 Marketing And Fund Development,,,,,,
6520 Promotion,,,,,"5,419.20","5,419.20"
Total for 6500 Marketing And Fund Development,,,,,"5,419.20","$5,419.20"
6600 Fleet Expenses,,,,,,
6610 Fees/Dues DMV,,,,,892.16,892.16
6630 Auto -  Repairs and Maintenance,,,,"4,911.26","30,611.04","35,522.30"
6640 Fuel - Vehicle,,,,,"3,094.51","3,094.51"
6660 Compliance Tablets,,,,,117.64,117.64
Total for 6600 Fleet Expenses,,,,"4,911.26","34,715.35","$39,626.61"
6700 General And Admin Expenses,,,,,,
6715 Office Supplies,,,551.79,,"3,390.86","3,942.65"
6718 Postage Stamps/Supplies,,,,,5.44,5.44
6720 Legal,,,,,"1,112.00","1,112.00"
6725 Professional Fees Accounting,,,,,"16,140.00","16,140.00"
6726 Payroll Services,,,,,"3,592.00","3,592.00"
6770 Dues and Subscriptions,,,,,216.99,216.99
6780 Bank Charges,,,,,"5,126.71","5,126.71"
6787 Leased Equipment (Copiers),,,,,32.74,32.74
6790 Admin Meals,,,,,"1,854.69","1,854.69"
6795 Admin Travel,,,,278.76,"3,170.44","3,449.20"
Total for 6700 General And Admin Expenses,,,551.79,278.76,"34,641.87","$35,472.42"
7000 Program Education And Creative,,,,,,
7100 Music Licensing,,,,,250.00,250.00
7115 Design Fees,,,,"6,249.99","3,500.00","9,749.99"
7315 Instrument Repair,,,,"1,897.14",78.13,"1,975.27"
Total for 7000 Program Education And Creative,,,,"8,147.13","3,828.13","$11,975.26"
"8000 Audition, Camps & Tour Expenses",,,,,,
8110 Tour Food,,,,"7,200.00",,"7,200.00"
8210 Staff - Meals,,,,38.20,,38.20
8220 Staff - Lodging,,,,"6,278.83",,"6,278.83"
8230 Staff - Airfare,,,,"26,214.68","41,007.20","67,221.88"
8250 Staff - Travel Other,,,,400.81,,400.81
8310 Member Transportation - Airfare,,,,584.94,,584.94
8340 Bus Rental,,,,"20,000.00",,"20,000.00"
8345 Staff & Students Meals,,,,115.66,,115.66
8410 Meals and Supplies,,,,"3,998.11",,"3,998.11"
8530 Equipment Rental,,,,525.46,,525.46
8710 Wellness and Fitness Training,,,,540.68,,540.68
"Total for 8000 Audition, Camps & Tour Expenses",,,,"65,897.37","41,007.20","$106,904.57"
Bad Debt Expense,,,,,"2,000.00","2,000.00"
Total for Expenses,85.47,"20,368.12","68,433.39","82,820.41","262,160.89","$433,868.28"
Net Operating Income,"3,404.53","3,070.58","334,079.66","161,637.71","-263,735.25","$238,457.23"
Other Income,,,,,,
10010 Interest Income,,,,,"3,454.63","3,454.63"
Total for Other Income,,,,,"3,454.63","$3,454.63"
Other Expenses,,,,,,
11000 Brokerage Fees,,,,,495.05,495.05
11010 Unrealized Gain/Loss from Inves,,,,,"2,621.39","2,621.39"
11020 Interest Expense,,,,,"2,130.72","2,130.72"
11040 State Tax,,,,,79.34,79.34
11050 Depreciation,,,,,"26,406.06","26,406.06"
11060 Property Tax,,,,,"2,134.81","2,134.81"
11277 Donations,,,,,"47,329.26","47,329.26"
Total for Other Expenses,,,,,"81,196.63","$81,196.63"
Net Other Income,,,,,"-77,742.00","-$77,742.00"
Net Income,"3,404.53","3,070.58","334,079.66","161,637.71","-341,477.25","$160,715.23"



"Accrual Basis Sunday, October 19, 2025 08:59 AM GMTZ",,,,,,
