Profit and Loss by Class,,,,,,,
Vanguard Music and Performing Arts,,,,,,,
"May 1-31, 2025",,,,,,,

Distribution account,Alumni Association,Bingo - RWC,Bingo - SC,Funds Development,Santa Clara Vanguard,Shared Services,Total
Income,,,,,,,
4000 Revenue,,,,,,,
4000.00 Bingo Revenue,,,,,,,
4010 Cherry Sales,,"6,816.00","58,529.00",,,,"65,345.00"
4020 Flash Sales,,"339,339.00","1,988,640.00",,,,"2,327,979.00"
4030 Strip Sales,,"269,649.00","1,031,625.00",,,,"1,301,274.00"
4040 Paper Sales,,"14,501.00","49,888.00",,,,"64,389.00"
4050 Misc Bingo Supplies,,615.00,"3,119.00",,,,"3,734.00"
Total for 4000.00 Bingo Revenue,,"630,920.00","3,131,801.00",,,,"$3,762,721.00"
4100.00 Fundraising,,,,,,,
4110 Net Donations - Unrestricted,,"6,868.00","14,066.00",,"5,584.19",,"26,518.19"
4115 Net Donations - Restricted,,,,,"8,172.73",,"8,172.73"
Total for 4100.00 Fundraising,,"6,868.00","14,066.00",,"13,756.92",,"$34,690.92"
4200.00 Equipment Revenue,,,,,,,
"4230 Equipment Sales (props, Flags)",,,,,100.00,,100.00
4240 Instruments Sales,,,,,"24,662.74",,"24,662.74"
Total for 4200.00 Equipment Revenue,,,,,"24,762.74",,"$24,762.74"
4300 Other Misc. Revenue,,,"1,200.00",,"2,875.04",,"4,075.04"
4400 Tuition Revenue,,,,,,,
4210 Tuition Fees,,,,,"233,035.00",,"233,035.00"
Total for 4400 Tuition Revenue,,,,,"233,035.00",,"$233,035.00"
Total for 4000 Revenue,,"637,788.00","3,147,067.00",,"274,429.70",,"$4,059,284.70"
Total for Income,,"637,788.00","3,147,067.00",,"274,429.70",,"$4,059,284.70"
Cost of Goods Sold,,,,,,,
50000 Cost of Goods Sold,,,,,,,
5000.00 Bingo COGS,,,,,,,
5000.25 Bingo Payouts,,,,,,,
5013 Cherry Payouts,,"5,253.00","49,496.00",,,,"54,749.00"
5023 Flash Payouts,,"239,353.00","1,397,680.00",,,,"1,637,033.00"
5033 Strips Payouts,,"206,050.00","581,149.00",,,,"787,199.00"
5043 Paper and Electronic Payouts,,"21,525.00","57,538.00",,,,"79,063.00"
Total for 5000.25 Bingo Payouts,,"472,181.00","2,085,863.00",,,,"$2,558,044.00"
5000.75 Bingo Costs-Other,,,,,,,
5012 Cards/Supplies,,"10,052.75","340,766.09",,,,"350,818.84"
5090 City Permits,,,"4,093.75",,,,"4,093.75"
5095 Credit Card Merchant Fees,,,"21,615.01",,,"2,108.33","23,723.34"
5302 Refunds/Chargebacks/Misc,,"1,761.00","12,000.00",,,,"13,761.00"
Total for 5000.75 Bingo Costs-Other,,"11,813.75","378,474.85",,,"2,108.33","$392,396.93"
Total for 5000.00 Bingo COGS,,"483,994.75","2,464,337.85",,,"2,108.33","$2,950,440.93"
5200 Equipment COGS,,,,,,,
5310 Instrument Purchases,,,,,39.17,,39.17
Total for 5200 Equipment COGS,,,,,39.17,,$39.17
Total for 50000 Cost of Goods Sold,,"483,994.75","2,464,337.85",,39.17,"2,108.33","$2,950,480.10"
Total for Cost of Goods Sold,,"483,994.75","2,464,337.85",,39.17,"2,108.33","$2,950,480.10"
Gross Profit,,"153,793.25","682,729.15",,"274,390.53","-2,108.33","$1,108,804.60"
Expenses,,,,,,,
6000 Bingo Expenses,,,,,,,
6030 Refreshments/Meals,,,"2,381.12",,,,"2,381.12"
6040 Security Service,,"4,224.00","7,512.00",,,337.94,"12,073.94"
6050 Advertising,,,,,,"3,707.11","3,707.11"
6051 Rent,,"18,000.00",,,,,"18,000.00"
6060 Employee Meals,,,"1,000.00",,,,"1,000.00"
6070 Employee Gifts,,,,,"3,691.41",,"3,691.41"
6080 Equip. Repairs and Maintenance,,,482.76,,257.50,,740.26
"6082 Office Supplies, Decor and Fees",,,"1,070.03",,413.28,288.33,"1,771.64"
6085 Janitorial,,"2,771.81","5,561.60",,,,"8,333.41"
6088 Utilities,,,,,,142.41,142.41
6195 Outside Storage,,,,,,387.00,387.00
Total for 6000 Bingo Expenses,,"24,995.81","18,007.51",,"4,362.19","4,862.79","$52,228.30"
6001 Employee Related Expenses,,,,,,,
6010 Salary,,,"22,832.61",,,"72,983.52","95,816.13"
6020 Hourly,,"24,107.04","120,991.05",,,385.00,"145,483.09"
6115 Payroll Taxes,,"1,725.16","11,017.15",,,"5,565.16","18,307.47"
6300 Benefits Insurance,,,,,,,
6300.01 Health,,,,,,"6,110.10","6,110.10"
6300.02 Dental,,,,,,899.70,899.70
6300.04 Other,,,,,,-51.87,-51.87
Total for 6300 Benefits Insurance,,,,,,"6,957.93","$6,957.93"
Total for 6001 Employee Related Expenses,,"25,832.20","154,840.81",,,"85,891.61","$266,564.62"
6100 Facilities Expenses,,,,,,,
6100.01 Repairs and Maintenance,,,,,,,
6110 Janitorial & Grounds,,,,,"3,583.56",916.64,"4,500.20"
6120 Routine (HVAC & Others),,,,,"4,655.57",138.17,"4,793.74"
6130 Non Routine,,,,,,"15,000.00","15,000.00"
Total for 6100.01 Repairs and Maintenance,,,,,"8,239.13","16,054.81","$24,293.94"
6150 Utilities - Power,,,,,,"4,363.36","4,363.36"
6160 Phones for Facility,,,,,,"3,779.86","3,779.86"
6170 Wireless & Internet,,,,,,"3,274.07","3,274.07"
6180 Alarm System,,,,,,183.25,183.25
6190 Inspections,,,,,,419.29,419.29
Total for 6100 Facilities Expenses,,,,,"8,239.13","28,074.64","$36,313.77"
6200 IT Expenses,,,,,,,
6210 IT Consulting (Ian),,,,,,750.00,750.00
6230 Other IT Professional Fees,,,,,,190.05,190.05
6250 SAS Expense,,,,,"3,416.13","20,157.42","23,573.55"
Total for 6200 IT Expenses,,,,,"3,416.13","21,097.47","$24,513.60"
6400 Insurance / Risk Management,,,,,,,
6410 Insurance Expenses,,,,,,,
6410.01 General Liability,,,,,,"11,420.92","11,420.92"
Total for 6410 Insurance Expenses,,,,,,"11,420.92","$11,420.92"
Total for 6400 Insurance / Risk Management,,,,,,"11,420.92","$11,420.92"
6500 Marketing And Fund Development,,,,,,,
6510 Advertising,,,,,"1,911.93","5,352.84","7,264.77"
6520 Promotion,,,,,54.18,,54.18
6540 Events,305.04,,,599.97,,,905.01
Total for 6500 Marketing And Fund Development,305.04,,,599.97,"1,966.11","5,352.84","$8,223.96"
6600 Fleet Expenses,,,,,,,
6610 Fees/Dues DMV,,,,,14.75,"1,679.09","1,693.84"
6630 Auto -  Repairs and Maintenance,,,,,"2,181.80","26,847.22","29,029.02"
6640 Fuel - Vehicle,,,,,,"2,556.12","2,556.12"
6660 Compliance Tablets,,,,,,117.64,117.64
Total for 6600 Fleet Expenses,,,,,"2,196.55","31,200.07","$33,396.62"
6700 General And Admin Expenses,,,,,,,
6715 Office Supplies,,,,,"1,177.38","5,007.94","6,185.32"
6718 Postage Stamps/Supplies,,,,,,739.24,739.24
6720 Legal,,,,,,647.50,647.50
6725 Professional Fees Accounting,,,,,,"17,400.00","17,400.00"
6726 Payroll Services,,,,,,"3,775.86","3,775.86"
6727 Professional Fees Consulting,,,,,,"2,400.00","2,400.00"
6728 Recruiting,,,,,,"2,852.96","2,852.96"
6770 Dues and Subscriptions,,,,,,"1,925.61","1,925.61"
6780 Bank Charges,,,,,8.08,"5,597.03","5,605.11"
6787 Leased Equipment (Copiers),,,,,,16.37,16.37
6790 Admin Meals,,,,,123.72,857.86,981.58
6791 Admin Employee Gifts,,,,,"1,080.07",,"1,080.07"
6795 Admin Travel,,,,,,"3,336.28","3,336.28"
Total for 6700 General And Admin Expenses,,,,,"2,389.25","44,556.65","$46,945.90"
7000 Program Education And Creative,,,,,,,
7010 Education Staff Prof. Devlpmt.,,,,,393.38,,393.38
7020 Wellness and Fitness,,,,,763.20,,763.20
7040 Professional Organizations,,,,,527.80,,527.80
7100 Music Licensing,,,,,"1,229.49",,"1,229.49"
7115 Design Fees,,,,,"8,815.83",,"8,815.83"
7315 Instrument Repair,,,,,255.00,,255.00
7320 Instrument Rentals,,,,,"5,917.60",,"5,917.60"
Total for 7000 Program Education And Creative,,,,,"17,902.30",,"$17,902.30"
"8000 Audition, Camps & Tour Expenses",,,,,,,
8210 Staff - Meals,,,,,"6,482.09",,"6,482.09"
8220 Staff - Lodging,,,,,"2,872.08",,"2,872.08"
8230 Staff - Airfare,,,,,"106,777.06",66.98,"106,844.04"
8240 Staff  - Car Rentals,,,,,641.23,,641.23
8250 Staff - Travel Other,,,,,895.45,,895.45
8340 Bus Rental,,,,,"3,751.00",,"3,751.00"
8348 Tour Supplies,,,,,"13,666.14",,"13,666.14"
8410 Meals and Supplies,,,,,"1,792.19",,"1,792.19"
8520 Equipment Purchase,,,,,"2,331.00",,"2,331.00"
8530 Equipment Rental,,,,,525.46,,525.46
8535 Materials,,,,,499.00,,499.00
8640 Prop Expenses,,,,,"5,421.49",,"5,421.49"
"Total for 8000 Audition, Camps & Tour Expenses",,,,,"145,654.19",66.98,"$145,721.17"
Bad Debt Expense,,,,,,"2,000.00","2,000.00"
Total for Expenses,305.04,"50,828.01","172,848.32",599.97,"186,125.85","234,523.97","$645,231.16"
Net Operating Income,-305.04,"102,965.24","509,880.83",-599.97,"88,264.68","-236,632.30","$463,573.44"
Other Income,,,,,,,
10000 Other Income,,,,,,"1,614.11","1,614.11"
10010 Interest Income,,,,,,"2,596.15","2,596.15"
Total for Other Income,,,,,,"4,210.26","$4,210.26"
Other Expenses,,,,,,,
11000 Brokerage Fees,,,,,,623.43,623.43
11010 Unrealized Gain/Loss from Inves,,,,,,"-22,183.05","-22,183.05"
11020 Interest Expense,,,,,,"3,436.93","3,436.93"
11040 State Tax,,,,,,14.80,14.80
11050 Depreciation,,,,,,"25,222.06","25,222.06"
11060 Property Tax,,,,,,"2,134.81","2,134.81"
11277 Donations,,,,,,"60,125.47","60,125.47"
Total for Other Expenses,,,,,,"69,374.45","$69,374.45"
Net Other Income,,,,,,"-65,164.19","-$65,164.19"
