Profit and Loss by Class,,,,,,,
Vanguard Music and Performing Arts,,,,,,,
"August 1-31, 2025",,,,,,,

Distribution account,Bingo - RWC,Bingo - SC,Santa Clara Vanguard,Shared Services,Texas Affiliate,Not specified,Total
Income,,,,,,,
4000 Revenue,,,,,,,
4000.00 Bingo Revenue,,,,,,,
4010 Cherry Sales,0.00,"66,148.00",,,,,"66,148.00"
4020 Flash Sales,"261,896.00","2,350,906.00",,,,,"2,612,802.00"
4030 Strip Sales,"295,720.00","1,613,499.00",,,,,"1,909,219.00"
4040 Paper Sales,"14,898.00","39,547.00",,,,,"54,445.00"
4050 Misc Bingo Supplies,150.00,"4,654.00",,,,,"4,804.00"
Total for 4000.00 Bingo Revenue,"572,664.00","4,074,754.00",,,,,"$4,647,418.00"
4100.00 Fundraising,,,,,,,
4110 Net Donations - Unrestricted,,"26,711.00","3,410.89",591.17,,,"30,713.06"
4115 Net Donations - Restricted,,,"4,907.94",,,,"4,907.94"
Total for 4100.00 Fundraising,,"26,711.00","8,318.83",591.17,,,"$35,621.00"
4200.00 Equipment Revenue,,,,,,,
"4230 Equipment Sales (props, Flags)",,,"2,442.00",,,,"2,442.00"
4240 Instruments Sales,,,"34,033.45",,,"11,900.00","45,933.45"
Total for 4200.00 Equipment Revenue,,,"36,475.45",,,"11,900.00","$48,375.45"
4300.00 Misc Revenue,,,,,,,
4130 Commission Income,,,140.50,,,"16,061.22","16,201.72"
4200 Appearance Fees (DCI and Non),,,"9,376.00",,,,"9,376.00"
Total for 4300.00 Misc Revenue,,,"9,516.50",,,"16,061.22","$25,577.72"
4300 Other Misc. Revenue,450.00,"1,200.00","24,170.68",,,,"25,820.68"
4400 Tuition Revenue,,,,,,,
4210 Tuition Fees,,,370.00,,,,370.00
Total for 4400 Tuition Revenue,,,370.00,,,,$370.00
Total for 4000 Revenue,"573,114.00","4,102,665.00","78,851.46",591.17,,"27,961.22","$4,783,182.85"
Total for Income,"573,114.00","4,102,665.00","78,851.46",591.17,,"27,961.22","$4,783,182.85"
Cost of Goods Sold,,,,,,,
50000 Cost of Goods Sold,,,,,,,
5000.00 Bingo COGS,,,,,,,
5000.25 Bingo Payouts,,,,,,,
5013 Cherry Payouts,0.00,"54,918.00",,,,,"54,918.00"
5023 Flash Payouts,"184,747.00","1,654,855.00",,,,,"1,839,602.00"
5033 Strips Payouts,"268,750.00","1,107,060.00",,,,,"1,375,810.00"
5043 Paper and Electronic Payouts,"11,550.00","41,028.00",,,,,"52,578.00"
Total for 5000.25 Bingo Payouts,"465,047.00","2,857,861.00",,,,,"$3,322,908.00"
5000.75 Bingo Costs-Other,,,,,,,
5012 Cards/Supplies,"518,938.13","-22,685.50",,,,,"496,252.63"
5095 Credit Card Merchant Fees,,"28,699.17",,,,498.80,"29,197.97"
5302 Refunds/Chargebacks/Misc,"1,388.00","18,789.00",,,,,"20,177.00"
Total for 5000.75 Bingo Costs-Other,"520,326.13","24,802.67",,,,498.80,"$545,627.60"
Total for 5000.00 Bingo COGS,"985,373.13","2,882,663.67",,,,498.80,"$3,868,535.60"
5200 Equipment COGS,,,,,,,
5310 Instrument Purchases,,,,"1,679.00",,"9,296.00","10,975.00"
Total for 5200 Equipment COGS,,,,"1,679.00",,"9,296.00","$10,975.00"
Total for 50000 Cost of Goods Sold,"985,373.13","2,882,663.67",,"1,679.00",,"9,794.80","$3,879,510.60"
Total for Cost of Goods Sold,"985,373.13","2,882,663.67",,"1,679.00",,"9,794.80","$3,879,510.60"
Gross Profit,"-412,259.13","1,220,001.33","78,851.46","-1,087.83",,"18,166.42","$903,672.25"
Expenses,,,,,,,
6000 Bingo Expenses,,,,,,,
6030 Refreshments/Meals,,"2,029.42",4.98,,,,"2,034.40"
6040 Security Service,"3,577.00","11,009.27",,,,,"14,586.27"
6050 Advertising,,"3,883.93",,,,,"3,883.93"
6051 Rent,"13,200.00",,,,,,"13,200.00"
6060 Employee Meals,,"3,209.79",,,,,"3,209.79"
6080 Equip. Repairs and Maintenance,,482.75,,,,,482.75
"6082 Office Supplies, Decor and Fees",,"17,157.48",,,,,"17,157.48"
6088 Utilities,,201.65,,,,,201.65
6195 Outside Storage,,,,387.00,,,387.00
Total for 6000 Bingo Expenses,"16,777.00","37,974.29",4.98,387.00,,,"$55,143.27"
6001 Employee Related Expenses,,,,,,,
6010 Salary,,"15,489.24",,"93,662.92",,,"109,152.16"
6020 Hourly,"32,113.34","138,238.75",,,,246.00,"170,598.09"
6115 Payroll Taxes,"2,322.47","11,913.21",,"6,925.81",,,"21,161.49"
6300 Benefits Insurance,,,,,,,
6300.01 Health,,,,"6,501.23",,,"6,501.23"
6300.02 Dental,,,,"1,006.30",,,"1,006.30"
6300.04 Other,,,,-192.30,,,-192.30
Total for 6300 Benefits Insurance,,,,"7,315.23",,,"$7,315.23"
Total for 6001 Employee Related Expenses,"34,435.81","165,641.20",,"107,903.96",,246.00,"$308,226.97"
6100 Facilities Expenses,,,,,,,
6100.01 Repairs and Maintenance,,,,,,,
6110 Janitorial & Grounds,,,,"7,635.94",,,"7,635.94"
6130 Non Routine,,,"1,291.00","9,871.25",,,"11,162.25"
Total for 6100.01 Repairs and Maintenance,,,"1,291.00","17,507.19",,,"$18,798.19"
6150 Utilities - Power,,,,"7,908.65",,,"7,908.65"
6160 Phones for Facility,,,"3,863.41","-2,138.18",,,"1,725.23"
6170 Wireless & Internet,,,,"2,319.50",,,"2,319.50"
6180 Alarm System,,,,183.25,,,183.25
6190 Inspections,,,,395.65,,,395.65
Total for 6100 Facilities Expenses,,,"5,154.41","26,176.06",,,"$31,330.47"
6200 IT Expenses,,,,,,,
6210 IT Consulting (Ian),,,,"1,200.00",,,"1,200.00"
6230 Other IT Professional Fees,,,,190.05,,,190.05
6250 SAS Expense,,,99.00,"22,729.56",,,"22,828.56"
6260 IT Equipment,,,,847.78,,,847.78
Total for 6200 IT Expenses,,,99.00,"24,967.39",,,"$25,066.39"
6400 Insurance / Risk Management,,,,,,,
6410 Insurance Expenses,,,,,,,
6410.01 General Liability,,,,"5,690.88",,,"5,690.88"
Total for 6410 Insurance Expenses,,,,"5,690.88",,,"$5,690.88"
Total for 6400 Insurance / Risk Management,,,,"5,690.88",,,"$5,690.88"
6500 Marketing And Fund Development,,,,,,,
6510 Advertising,,,"3,159.41","5,868.98",,,"9,028.39"
Total for 6500 Marketing And Fund Development,,,"3,159.41","5,868.98",,,"$9,028.39"
6600 Fleet Expenses,,,,,,,
6610 Fees/Dues DMV,,,,"1,940.82",,,"1,940.82"
6630 Auto -  Repairs and Maintenance,,,-826.43,"8,763.37",,,"7,936.94"
6640 Fuel - Vehicle,,,,241.66,,,241.66
6660 Compliance Tablets,,,,0.00,,,0.00
Total for 6600 Fleet Expenses,,,-826.43,"10,945.85",,,"$10,119.42"
6700 General And Admin Expenses,,,,,,,
6715 Office Supplies,,,"1,968.60","1,725.31",,,"3,693.91"
6720 Legal,,,,"30,265.45",,,"30,265.45"
6725 Professional Fees Accounting,,,,"15,608.74",,,"15,608.74"
6726 Payroll Services,,,,"3,885.71",,,"3,885.71"
6727 Professional Fees Consulting,,,,"2,400.00",,"3,185.00","5,585.00"
6728 Recruiting,,506.73,,"1,932.99",,,"2,439.72"
6750 Equipment Under $5K - Program,,,336.00,,,,336.00
6770 Dues and Subscriptions,,,,"2,048.71",,,"2,048.71"
6780 Bank Charges,52.45,0.04,40.97,"3,365.90",,10.00,"3,469.36"
6790 Admin Meals,,,237.85,"4,122.10",,,"4,359.95"
6795 Admin Travel,,,"2,914.40",299.03,,,"3,213.43"
Total for 6700 General And Admin Expenses,52.45,506.77,"5,497.82","65,653.94",,"3,195.00","$74,905.98"
7000 Program Education And Creative,,,,,,,
7020 Wellness and Fitness,,,450.00,,,,450.00
7110 Education Materials,,,"9,345.97",,,,"9,345.97"
7115 Design Fees,,,"9,037.89",,,,"9,037.89"
7315 Instrument Repair,,,"3,672.01",,,975.00,"4,647.01"
Total for 7000 Program Education And Creative,,,"22,505.87",,,975.00,"$23,480.87"
"8000 Audition, Camps & Tour Expenses",,,,,,,
8210 Staff - Meals,,,81.88,,,,81.88
8220 Staff - Lodging,,,"16,673.08",,,,"16,673.08"
8230 Staff - Airfare,,,"8,011.74",,,,"8,011.74"
8250 Staff - Travel Other,,,135.93,,,,135.93
8340 Bus Rental,,,"16,029.95",,,,"16,029.95"
8345 Staff & Students Meals,,,"24,617.60",,,,"24,617.60"
8348 Tour Supplies,,,"12,117.64",,,,"12,117.64"
8350 Fuel,,,110.87,,,,110.87
8410 Meals and Supplies,,,"17,826.68",4.34,,,"17,831.02"
8420 Tour Housing,,,"17,963.08",,,,"17,963.08"
8530 Equipment Rental,,,,"2,011.32",,,"2,011.32"
8535 Materials,,,163.09,503.24,,,666.33
8538 Uniform and Accessories,,,"1,392.12",,,,"1,392.12"
8540 Medical Expenses and Supplies,,,,"2,311.88",,,"2,311.88"
8640 Prop Expenses,,,917.38,,,,917.38
"Total for 8000 Audition, Camps & Tour Expenses",,,"116,041.04","4,830.78",,,"$120,871.82"
Bad Debt Expense,,,,"2,000.00",,,"2,000.00"
Total for Expenses,"51,265.26","204,122.26","151,636.10","254,424.84",,"4,416.00","$665,864.46"
Net Operating Income,"-463,524.39","1,015,879.07","-72,784.64","-255,512.67",,"13,750.42","$237,807.79"
Other Income,,,,,,,
10000 Other Income,,,,"3,345.76",,,"3,345.76"
10010 Interest Income,,,,"1,457.73",,0.17,"1,457.90"
Total for Other Income,,,,"4,803.49",,0.17,"$4,803.66"
Other Expenses,,,,,,,
11000 Brokerage Fees,,,,686.73,,,686.73
11010 Unrealized Gain/Loss from Inves,,,,"-8,430.21",,,"-8,430.21"
11020 Interest Expense,,,,"2,210.70",,,"2,210.70"
11050 Depreciation,,,,"28,011.60",,,"28,011.60"
11060 Property Tax,,,,"2,134.81",,,"2,134.81"
11277 Donations,,,,"80,000.00","2,563.47",,"82,563.47"
